kakenhi_code	name_ja	url	name_en
30121	北海道文教大学	https://www.do-bunkyodai.ac.jp/	Hokkaido Bunkyo University
30122	天使大学	https://www.tenshi.ac.jp/	Tenshi College
30123	育英館大学	https://www.wakkanaipress.com/	Ikueikan University
30124	星槎大学	https://www.seisa.ac.jp/	Seisa University Official Site
30125	札幌大谷大学	https://www.sapporo-otani.ac.jp/	Sapporo Otani University
30126	札幌保健医療大学	https://www.sapporo-hokeniryou-u.ac.jp/	
30127	日本医療大学	https://www.nihoniryo-c.ac.jp/	
30128	北海道千歳リハビリテーション大学	https://www.chitose-reha.ac.jp/	Hokkaido Chitose College of Rehabilitation
30129	北海道武蔵女子大学	https://www.mynavi.jp/	
31101	青森大学	https://www.aomori-u.ac.jp/	Aomori University
31102	柴田学園大学	https://www.shibata.ac.jp/	Shibata Gakuen University<ref>[http://www.nihonmura.com/mu/universities/archives/000789.shtml Universities & Colleges in Japan: Tohoku Women's College - NIHON MURA( )<!-- Bot generated title -->]</ref>
31103	八戸工業大学	https://www.hi-tech.ac.jp/	All Right Reserved, Hachinohe Institute of Technology
31104	弘前学院大学	https://www.hirogaku-u.ac.jp/	Hirosaki Gakuin University
31105	八戸学院大学	https://www.hachinohe-u.ac.jp/	Hachinohe Gakuin University
31106	青森中央学院大学	https://www.aomoricgu.ac.jp/	Aomori Chuo Gakuin University
31107	弘前医療福祉大学	https://www.mynavi.jp/	Hirosaki University of Health and Welfare
31201	岩手医科大学	https://www.iwate-med.ac.jp/	Iwate Medical University
31202	富士大学	https://www.d-tochi.com/	Fuji University
31203	盛岡大学	https://www.morioka-u.ac.jp/	Morioka University
31204	岩手保健医療大学	https://www.iwate-uhms.ac.jp/	Iwate University of Health and Medical Sciences {"prefetch":[{"source":"document","where":{"and":[{"href_matches":"/*"},{"not":{"href_matches":["/dir/wp-*.p
31301	仙台大学	https://www.sendaidaigaku.jp/	Sendai University
31302	東北学院大学	https://www.tohoku-gakuin.ac.jp/	Tohoku Gakuin University
31303	東北工業大学	https://www.tohtech.ac.jp/	Tohoku Institute of Technology
31304	東北福祉大学	https://www.tfu.ac.jp/	Tohoku Fukushi University
31305	東北医科薬科大学	https://www.tohoku-mpu.ac.jp/	Tohoku Medical and Pharmaceutical University
31306	東北生活文化大学	https://www.mynavi.jp/	Tohoku Seikatsu Bunka College
31307	宮城学院女子大学	https://www.mgu.ac.jp/	Miyagi Gakuin Women's University
31308	石巻専修大学	https://www.senshu-u.ac.jp/	Senshu University
31309	仙台白百合女子大学	https://www.sendai-shirayuri.ac.jp/	{padding:1rem}.site-footer-copyright p{text-align:center;margin:.5rem;font-size:var(--vk-size-text-xs)}.vk-mobile-nav-menu-btn{position:fixed;top:5px;left:5px;z-index:2100;overflow:hidden;border:1px s
31310	東北文化学園大学	https://www.tbgu.ac.jp/	Tohoku Bunka Gakuen University
31311	尚絅学院大学	https://www.shokei.jp/	Shokei Gakuin University
31312	仙台青葉学院大学	https://www.goo.ne.jp/	Sendai Seiyo Gakuin University
31401	ノースアジア大学	https://www.nau.ac.jp/	NORTH ASIA University
31402	秋田看護福祉大学	https://www.well.ac.jp/	Akita University of Nursing and Welfare
31403	日本赤十字東北看護大学		The Japanese Red Cross Tohoku College of Nursing
31501	東北芸術工科大学	https://www.tuad.ac.jp/	Tohoku University of Art & Design
31502	東北公益文科大学	https://www.koeki-u.ac.jp/	Tohoku University of Community Service and Science
31503	東北文教大学	https://www.t-bunkyo.ac.jp/	Tohoku Bunkyo College
31504	電動モビリティシステム専門職大学	https://www.mynavi.jp/	
31601	郡山女子大学	https://www.koriyama-kgc.ac.jp/	Koriyama Women's University
31602	奥羽大学	https://www.ohu-dent.jp/	Ohu University
31603	医療創生大学	https://www.isu.ac.jp/	Iryo Sosei University
31604	東日本国際大学	https://www.shk-ac.jp/	Higashi Nippon International University
31605	福島学院大学	https://www.fukushima-college.ac.jp/	Fukushima College
32101	茨城キリスト教大学	https://www.icc.ac.jp/	Ibaraki Christian University
32102	流通経済大学	https://www.rku.ac.jp/	Ryutsu Keizai University
32103	常磐大学	https://www.tokiwa.ac.jp/	Tokiwa University
32104	つくば国際大学	https://www.ktt.ac.jp/	Tsukuba International University
32105	日本国際学園大学	https://www.mynavi.jp/	
32106	日本ウェルネススポーツ大学	https://www.taiken.ac.jp/	
32107	アール医療専門職大学	https://www.a-ru.ac.jp/	wiki
32201	足利大学	https://www.ashitech.ac.jp/	Ashikaga University
32202	自治医科大学	https://www.jichi.ac.jp/	Jichi Medical University
32203	獨協医科大学	https://www.dokkyomed.ac.jp/	Dokkyo Medical University
32204	白鴎大学	https://www.hakuoh.jp/	Hakuoh University
32205	作新学院大学	https://www.sakushin-u.ac.jp/	Sakushin Gakuin University
32206	国際医療福祉大学	https://www.iuhw.ac.jp/	International University of Health and Welfare
32207	宇都宮共和大学	https://www.kyowa-u.ac.jp/	Utsunomiya Kyowa University
32208	文星芸術大学	https://www.bunsei.ac.jp/	Bunsei University of Art
32301	上武大学	https://www.ironna.jp/	Jobu University
32302	関東学園大学	https://www.kanto-gakuen.ac.jp/	Kanto Gakuen University
32303	共愛学園前橋国際大学	https://www.kyoai.ac.jp/	Kyoai Gakuen University University introduction University Introduction TOP About KYOAI GAKUEN UNIVERSITY Philosophy KYOAI VISION Message from the President Education for Mutual Love (Four Polici
32304	東京福祉大学	https://www.tokyo-fukushi.ac.jp/	Tokyo University of Social Welfare
32305	高崎健康福祉大学	https://www.takasaki-u.ac.jp/	Takasaki University of Health and Welfare
32306	高崎商科大学	https://www.tuc-hs.ed.jp/	Takasaki University of Commerce
